question;answer
О программе Прикладной искусственный интеллект;"Название: Прикладной искусственный интеллект  
Организаторы: Совместная программа Учебного центра Нетология и Уральского федерального университета имени первого Президента России Б.Н. Ельцина (УРФУ).  
Форма обучения: Онлайн-обучение с возможностью участия в практических проектах совместно с ведущими компаниями отрасли.  
Продолжительность: Двухгодичная программа обучения.  
Диплом: Выпускникам выдается диплом государственного образца УРФУ.  
Особенности: Программа ориентирована на развитие компетенций в области машинного обучения, глубокого обучения, обработки больших данных и автоматизации процессов принятия решений"
Кто такой Data Scientist?;Data Scientist — это специалист, работающий с большими объемами данных для выявления закономерностей и создания прогнозов.
Какие задачи выполняет Data Scientist?;"Основные задачи Data Scientists:
— Сбор данных: покупка товаров, просмотры видео на YouTube, метеорологические данные и другие источники.
— Очистка данных: устранение ошибок и заполнение пробелов для работы с корректной информацией.
— Построение моделей: использование математики и программирования для создания алгоритмов, предсказывающих будущие тенденции. Например, модель может указать, какой продукт станет популярным летом.
— Анализ и визуализация результатов: после выполнения расчётов, Data Scientists интерпретируют полученные данные и представляют их в виде графиков и диаграмм, показывая изменения интереса к определённым товарам.
— Автоматизация процессов: разработка программ, самостоятельно собирающих, обрабатывающих и анализирующих данные без вмешательства человека."
Кто такой Data Analyst?;Data Analyst — это специалист, который анализирует большие объемы данных, чтобы найти полезные сведения и помочь принимать обоснованные решения.
Какие задачи выполняет Data Analyst?;"Что делает Data Analyst:

— Собирает данные: Это могут быть продажи, отзывы клиентов, статистика посещений сайта и многое другое. Например, он собирает данные о количестве проданных товаров каждого типа.
— Очищает данные: Данные иногда могут содержать ошибки или пропуски. Data Analyst устраняет эти проблемы, чтобы получить точные и надежные результаты.
— Анализирует данные: Используя различные инструменты и методы, Data Analyst находит закономерности и тренды в собранных данных. Например, он может заметить, что продажи определенного продукта резко увеличиваются перед праздниками.
— Представляет результаты: Data Analyst готовит отчеты, графики и таблицы, чтобы наглядно продемонстрировать свои находки. Например, график может показывать динамику продаж разных продуктов в течение года.
— Предлагает рекомендации: На основе проведенного анализа Data Analyst предлагает конкретные меры для улучшения бизнеса. Например, увеличить запасы популярных товаров перед сезоном пиковых продаж."
Различия между Data Analyst и Data Scientist?;"Data Scientist фокусируется на создании и обучении моделей машинного обучения, а также на интерпретации результатов.

Data Analyst больше ориентирован на сбор и анализ существующих данных для предоставления информации бизнесу.

Data Engineer создаёт инфраструктуру для хранения и обработки данных, обеспечивая их доступность и безопасность.

ML Engineer занимается развёртыванием и поддержкой моделей машинного обучения в реальных условиях эксплуатации."
Требования к поступающим?;"Требования к поступающим
Образовательная программа ориентирована на слушателей с базовыми знаниями в области программирования и математики. По результатам первого набора выявлено, что отсутствие предварительных знаний в области языка программирования Python и математической подготовки существенно затрудняет освоение материала. "
Структура обучения:;"После оформления договора на обучение магистрам предоставляется доступ к адаптационному курсу по языку программирования Python, реализуемому на образовательной платформе Нетология.

Обучение Python организовано по двухуровневой системе:

Базовый уровень — для начинающих программистов

Продвинутый уровень — для слушателей с профильной подготовкой

В начале обучения проводится входное тестирование для определения уровня подготовки слушателей."
Образовательные платформы;"Программа реализуется с использованием следующих образовательных платформ:

Образовательная платформа Нетология

Корпоративная платформа высшего учебного заведения

Специализированные ресурсы для изучения Python: Яндекс Контекст, Kaggle"
Примеры проектных задач;"Пример задания: Разработать приложение для планирования поездок

Задача: Пользователь создаёт маршруты поездок, отмечает места, которые хочет посетить, и добавляет заметки

Навыки и компетенции: Работа с API карт (например, Google Maps), Разработка пользовательских интерфейсов, Программирование на Python, Работа с базами данных и их интеграция, Анализ данных

Действия, которые сделает студент: Интеграция API для отображения карт и маршрутов, Создание интерфейса для ввода мест и заметок, Реализация функционала сохранения и редактирования маршрутов."
Навыки выпускника;"понимает специфику использования искусственного интеллекта в медицине / ecom / банковском секторе

умеет создавать и обучать нейронные сети и разрабатывать алгоритмы

умеет составить ТЗ по подготовке дата сетов для проверки модели и вносить необходимые корректировки в работу модели

умеет развернуть модель на компанию, чтобы ей пользовался бизнес и поддерживать ее

наработает портфолио с проектами для выхода на работу по специальности по завершению обучения

будет понимать, как работать в команде разработчиков ИИ, как строятся процессы разработки, какие роли (эджайл, канбан, тим лид и т.д.)

понимает задачи бизнеса и как работать с бизнес стейкхолдерами
будет понимать, как настраивать архитектуру, чтобы хранить и собирать данные"
Инструменты, которые изучают студенты во время обучения;"Python 
Высокоуровневый язык программирования общего назначения, ориентированный на повышение производительности разработчика и читаемости кода.

Scikit-learn (sklearn)
Один из наиболее широко используемых пакетов Python для Data Science и Machine Learning

Apache Kafka
Распределённый и горизонтально масштабируемый брокер сообщений. Разрабатывается в рамках Apache Software Foundation.

PyTorch
Фреймворк машинного обучения для языка Python с открытым исходным кодом, созданный на базе Torch. Используется для решения различных задач: компьютерное зрение, обработка естественного языка.

NumPy
Библиотека Python, которую применяют для математических вычислений: начиная с базовых функций и заканчивая линейной алгеброй.

Pandas 
Библиотека Python для обработки и анализа структурированных данных M
atplotlib
Библиотека на языке Python для визуализации данных."
Для кого программа;"После бакалавриата, которые закончили IT или математические специальности, но хотят уйти в ML

Выпускники специализаций по DS и DA, кто хочет уйти из аналитики данных в разработку нейросетей и моделей ИИ / получить вторую профессию

IT специалисты, работающие на низших должностях.
 Хотят получить дополнительные навыки, чтобы больше зарабатывать и сменить вектор обучения

IT специалисты, которым необходимо изучение технологий и высшее образование для повышения грейда на работе.

Фрилансеры, которые работали с датасетами (собирали, готовили, размечали), владеющие азами программирования, хотят перейти на позицию ML-разработчика"
Диплом по окончанию обучения;"Вашу квалификацию подтвердит диплом УрФУ

Вам будет присвоена квалификация «Магистр» по направлению подготовки 09.04.02 «Информационные системы и технологии».

Дополнительно вы сможете получить диплом ДПО Нетологии «Машинное обучение и управление 
большими данными»"
Формат обучения;"Форма обучения — очная

Вы можете заниматься из любой точки мира — в документах не будет указано, что вы учились онлайн. После окончания программы получите диплом очного бакалавриата.

Удобная платформа: вы будете учиться на платформе Нетологии. Все материалы будут доступны в вашем личном кабинете. Часть видеолекций уже записана, вы сможете посмотреть в любое удобное время. Семинары проходят онлайн по расписанию. Пример расписания в будний день с 18:40 и по субботам с 10:00 по МСК

Комфортный режим: для обучения в вузе не нужно переезжать в другой город, подключиться к занятиям можно в любом месте. Гибкий график позволит планировать свободное время. Однако не стоит забывать, что обучение будет 4-5 раз в неделю по 2 пары. Следовательно совмещать с работой будет довольно сложно. Вам понадобиться от 30 часов в неделю на обучение

Поддержка на всех этапах обучения: команда сопровождения Нетологии будет всегда рядом. Мы помогаем с момента поступления до получения диплома. Координаторы отвечают на организационные вопросы, напоминают о дедлайнах и мотивируют двигаться к цели. Подробнее в статье

Доступ к программе в мобильном приложении: мы разработали платформу для смартфонов, чтобы вы могли учиться в спортзале, на даче или в пути. Вы будете получать напоминание о занятиях и сможете заниматься даже без интернета - нужно только сказать материалы на телефон.

Можно не посещать все занятия, они будут в ЛК, но необходимо быть на контрольных мероприятиях."
